授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
材料科学基礎２（材エネ）,深見 一弘・一井 崇,2回生以上,後期,木2,工学部専門科目,物理工学科,
エネルギー化学１（エネ原）,松本 一彦,3回生以上,前期,火2,工学部専門科目,物理工学科,
エネルギー化学２（エネ原）,松本 一彦,3回生以上,後期,金4,工学部専門科目,物理工学科,
流体力学１（機）,長田 孝二・渡邉 智昭,2回生以上,後期,火2,工学部専門科目,物理工学科,
流体力学１（エネ原宇）,大和田 拓・杉元 宏,2回生以上,後期,火2,工学部専門科目,物理工学科,
流体力学２（機）,長田 孝二・渡邉 智昭,3回生以上,前期,木2,工学部専門科目,物理工学科,
流体力学２（エネ宇）,大和田 拓・杉元 宏,3回生以上,前期,木2,工学部専門科目,物理工学科,
マイクロ加工学（機エネ）,横川 隆司・廣谷 潤・藤本 和也,4回生以上,前期,金1,工学部専門科目,物理工学科,
航空宇宙工学演義（宇）,高田 滋,4回生以上,前期,"火3,4",工学部専門科目,物理工学科,
固体物性論（材エネ）,中村 裕之・田畑 吉計,3回生以上,後期,金3,工学部専門科目,物理工学科,
原子核工学序論１（原）,佐々木 隆之,2回生以上,前期,月2,工学部専門科目,物理工学科,
原子核工学序論２（原）,佐々木 隆之,2回生以上,後期,月2,工学部専門科目,物理工学科,
流体熱工学（原）,横峯 健彦,3回生以上,後期,月2,工学部専門科目,物理工学科,
伝熱工学（機）,黒瀬 良一,3回生以上,後期,金1,工学部専門科目,物理工学科,
材料基礎学２（エネ）,奥村 英之,3回生以上,前期,水2,工学部専門科目,物理工学科,
設計工学１,小森 雅晴・平山 朋子,3回生以上,前期,月1,工学部専門科目,物理工学科,
設計工学２,西脇 眞二・小森 雅晴・寺川 達郎,3回生以上,後期,火2,工学部専門科目,物理工学科,
エネルギー応用工学設計演習・実験１,奥村 英之・安部 正高・池之上 卓己・小川 敬也・木下 勝之・長谷川 将克・蜂谷 寛・林 潤・堀部 直人・松本 一彦・三宅 正男・黄 珍光・岡(cid:8443) 豊・富所 拓哉・河合 江美・川西 咲子・今寺 賢志・茂木 渉,3回生以上,前期,"水3,4,木3,4",工学部専門科目,物理工学科,
原子核工学実験１,帆足 英二,3回生以上,前期,"木1,2,3,4",工学部専門科目,物理工学科,
エネルギー応用工学設計演習・実験２,奥村 英之・安部 正高・蜂谷 寛・池之上 卓己・小川 敬也・木下 勝之・長谷川 将克・林 潤・堀部 直人・松本 一彦・三宅 正男・黄 珍光・岡(cid:8443) 豊・富所 拓哉・河合 江美・川西 咲子・今寺 賢志・茂木 渉,3回生以上,後期,"水3,4,木3,4",工学部専門科目,物理工学科,
原子核工学実験２,帆足 英二,3回生以上,後期,"木1,2,3,4",工学部専門科目,物理工学科,
材料強度学,平方 寛之・嶋田 隆広,4回生以上,前期,木2,工学部専門科目,物理工学科,
熱力学１（機宇）,岩井 裕・岸本 将史,2回生以上,前期,金1,工学部専門科目,物理工学科,
熱力学１（エネ原）,長谷川 将克,2回生以上,前期,金1,工学部専門科目,物理工学科,
機械システム学セミナー（機）,松本 充弘・渡邉 智昭,3回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
マイクロ材料の加工・評価の基礎,土屋 智由・鈴木 基史・横川 隆司・廣谷 潤・藤本 和也,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
知能システム工学（機）,加納 学・中西 弘明,4回生以上,前期,水2,工学部専門科目,物理工学科,
材料科学基礎３,豊浦 和明,2回生以上,後期,金1,工学部専門科目,物理工学科,
材料組織学,安田 秀幸,3回生以上,後期,月1,工学部専門科目,物理工学科,
放射線計測学,土田 秀次,3回生以上,前期,水2,工学部専門科目,物理工学科,
材料熱力学（材）,宇田 哲也,2回生以上,前期,火3,工学部専門科目,物理工学科,
高分子材料概論（材）,澤本 光男・弓削 是貴,3回生以上,前期,月2,工学部専門科目,物理工学科,
原子炉物理学（原）,檜木 達也,3回生以上,前期,金1,工学部専門科目,物理工学科,
結晶回折学（材）,奥田 浩司,3回生以上,後期,金2,工学部専門科目,物理工学科,
エレクトロニクス入門（機宇）〈情報〉,橋本 昌宜,2回生以上,前期,月4,工学部専門科目,物理工学科,
生体機械工学,新宅 博文・安達 泰治・横川 隆司・井上 康博,3回生以上,後期,水4,工学部専門科目,物理工学科,
量子無機材料学（材）,世古 敦人,3回生以上,後期,火2,工学部専門科目,物理工学科,
材料科学序論,世古 敦人,2回生以上,前期,水3,工学部専門科目,物理工学科,
特別研究１（機）,西脇 眞二,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（機）,西脇 眞二,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（材）,深見 一弘・弓削 是貴,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（エネ）,三宅 正男,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（原）,斉藤 学・土田 秀次,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（宇）,高田 滋,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（材）,深見 一弘・弓削 是貴,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（エネ）,三宅 正男,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究１（原）,斉藤 学・土田 秀次,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（機）,西脇 眞二,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（機）,西脇 眞二,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（材）,深見 一弘・弓削 是貴,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（エネ）,三宅 正男,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（原）,斉藤 学・土田 秀次,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（宇）,高田 滋,4回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（材）,深見 一弘・弓削 是貴,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（エネ）,三宅 正男,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
特別研究２（原）,斉藤 学・土田 秀次,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
電気回路基礎論,久門 尚史,1回生以上,前期,火5,工学部専門科目,電気電子工学科,
数値解析,藤原 宏志,2回生以上,後期,水4,工学部専門科目,情報学科,
数理解析,藤原 宏志,4回生以上,前期,木4,工学部専門科目,情報学科,
神経心理学Ｉ,月浦 崇,,前期,月1,人社群,,
Introduction to Educational Studies I-E2,Emmanuel MANALO,,前期,月1,人社群,,
外国文献研究（経・英）Ａ-E1,李 晨,,前期,月1,人社群,,
西洋社会思想史Ｉ,松本 啓二朗,,前期,月2,人社群,,
統合型複合科目（人社群p） ：実践的・人文社会科学入門　HP01,柴山 桂太・藤井 聡,,前期,月2・水5,人社群,,
統合型複合科目（人社群p） ：実践的・人文社会科学入門　HP02,藤井 聡・川端 祐一郎,,前期,月2・月3,人社群,,
統合型複合科目（人社群p） ：実践的・人文社会科学入門　HP03,川端 祐一郎・柴山 桂太・濵崎 洋介・藤井 聡,,前期,月2・月4,人社群,,
アメリカ現代史入門,山澄 亨,,前期,月2,人社群,,
東洋史Ｉ,辻 正博,,前期,月2,人社群,,
日本史Ｉ,吉江 崇,,前期,月2,人社群,,
漢文学Ｉ,矢木 毅,,前期,月2,人社群,,
音楽芸術論Ｉ,嶋田 久美,,前期,月2,人社群,,
日本語コミュニケーションの特徴,パリハワダナ ルチラ,,前期,月2,人社群,,
芸術学Ｉ,武田 宙也,,前期,月2,人社群,,
国語国文学Ｉ,長谷川 千尋,,前期,月2,人社群,,
地域地理学,小島 泰雄,,前期,月2,人社群,,
政治学Ｉ,齋藤 嘉臣,,前期,月2,人社群,,
社会保障と法,稲森 公嘉,,前期,月2,人社群,,
経済学Ｉ,大黒 弘慈,,前期,月2,人社群,,
心理学Ｉ,月浦 崇・齋木 潤,,前期,月2,人社群,,
Psychoanalysis-E2,TAJAN，Nicolas Pierre,,前期,月2,人社群,,
外国文献研究（全・英）-E1 ：外国語学習を考える,中森 誉之,,前期,月2,人社群,,
日本の法と政治,高谷 知佳・毛利 透・奈良岡 聰智・髙橋 陽一,,前期,月2,人社群,,
少数言語論,柿原 武史,,前期,月2,人社群,,
哲学Ｉ,松本 啓二朗,,前期,月3,人社群,,
東洋史Ｉ,辻 正博,,前期,月3,人社群,,
日本史Ｉ,吉江 崇,,前期,月3,人社群,,
Japanese History I-E2,VAN STEENPAAL，Niels,,前期,月3,人社群,,
東洋美術史Ｉ,竹浪 遠,,前期,月3,人社群,,
社会学Ｉ,柴田 悠,,前期,月3,人社群,,
社会学Ｉ,朴 沙羅,,前期,月3,人社群,,
教育学Ｉ,石岡 学,,前期,月3,人社群,,
経済学Ｉ,大黒 弘慈,,前期,月3,人社群,,
Introduction to Educational Psychology I-E2,Emmanuel MANALO,,前期,月3,人社群,,
東南アジアの政治,岡本 正明,,前期,月3,人社群,,
Introduction to Game Theory-E2,李 晨,,前期,月3,人社群,,
"Democracy in Crisis-E2 :Government of, by, and for whom?",HIJINO Ken,,前期,月3,人社群,,
外国文献研究（全・英）-E1 ：アメリカ映画と文化,仁井田 千絵,,前期,月3,人社群,,
外国文献研究（全・英）-E1 ：言語の正体：動物からコンピュータまで,GINSBURG，Jason,,前期,月3,人社群,,
外国文献研究（経・英）Ａ-E1,若林 優弥,,前期,月3,人社群,,
人間実践論Ｉ,佐藤 義之,,前期,月4,人社群,,
統治機構論,見平 典,,前期,月4,人社群,,
労働と法,小畑 史子,,前期,月4,人社群,,
統計リテラシー,小巻 泰之,,前期,月4,人社群,,
Introduction to Game Theory-E2,李 晨,,前期,月4,人社群,,
外国文献研究（全・英）-E1 ：社会言語学入門,谷口 一美,,前期,月4,人社群,,
外国文献研究（全・英）-E1 ：言語の正体：動物からコンピュータまで,GINSBURG，Jason,,前期,月4,人社群,,
外国文献講読（法・英）Ｉ-E1,佐藤 団,,前期,月4,人社群,,
倫理学Ｉ,白水 士郎,,前期,月5,人社群,,
科学論Ｉ,青山 拓央,,前期,月5,人社群,,
言学Ｉ,前田 広幸,,前期,月5,人社群,,
言語科学Ｉ,GINSBURG，Jason,,前期,月5,人社群,,
ドイツ文学,川島 隆,,前期,月5,人社群,,
教育学Ｉ,石岡 学,,前期,月5,人社群,,
教育学Ｉ,開沼 太郎,,前期,月5,人社群,,
日本国憲法,見平 典,,前期,月5,人社群,,
経済学Ｉ,柴山 桂太,,前期,月5,人社群,,
偏見・差別・人権,廣野 由美子・豊福 誠二・加藤 寿宏・牧野 雅子・榎井 縁・深澤 吉隆,,前期,月5,人社群,,
統合型複合科目（人社群p2） ：「当たり前」を問い直すコミュニケーション科学　HC02,横森 大輔・片岡 仁美・柿原 武史・塚原 信行・高田 明・岩隈 美穂・金丸 敏幸・和泉 絵美・古川 裕之・井上 昂治,,前期,月5・木5,人社群,,
外国文献研究（全・英）-E1 ：CG技術の最前線,舩冨 卓哉・菊池 知世,,前期,月5,人社群,,
外国文献研究（文・英）Ａ-E1,岩本 佳子,,前期,月5,人社群,,
Culture and Traditions in Japan I,パリハワダナ ルチラ,,前期,月5,人社群,,
宗教学各論I（死生学）,竹内 綱史,,前期,火1,人社群,,
統合型複合科目（人社群j） ：国際政治経済学,坂出 健・服部 崇・関山 健・村上 勇介,,前期,火1・火5,人社群,,
外国文献研究（全・英）-E1 ：黒人野球を通して見る20世紀アメリカの歴史と文化,吉田 恭子,,前期,火1,人社群,,
外国文献講読（法・英）Ｉ-E1,鈴木 秀光,,前期,火1,人社群,,
