授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
アルゴリズムとデータ構造,西野 恒・櫻田 健,3回生以上,前期,火2,工学部専門科目,電気電子工学科,
電気電磁回路,久門 尚史,3回生以上,前期,火3,工学部専門科目,電気電子工学科,
特別研究,全員,4回生以上,通年集中,集中講義,工学部専門科目,電気電子工学科,
グラフ理論（電気電子）,川原 純,3回生以上,後期,木4,工学部専門科目,情報学科,
人工知能,神田 崇行,3回生以上,前期,水3,工学部専門科目,情報学科,
メディア情報処理,河原 達也・中村 裕一,3回生以上,後期,火4,工学部専門科目,情報学科,
情報符号理論続論,小渕 智之・本多 淳也,3回生以上,後期,火3,工学部専門科目,情報学科,
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,
有機工業化学,藤原 哲晶・跡見 晴幸・河瀬 元明・近藤 輝幸・蘆田 隆一・寺村 謙太郎,3回生以上,後期,水1,工学部専門科目,理工化学科,
生物化学工学,跡見 晴幸・三木 裕明・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,金2,工学部専門科目,理工化学科,
環境保全概論,平井 康宏・中川 浩行・矢野 順也,3回生以上,前期,月1,工学部専門科目,理工化学科,
環境安全化学,阿部 竜・中川 浩行・山本 浩平,3回生以上,後期,木1,工学部専門科目,理工化学科,
移動現象,山本 量一,3回生以上,前期,火2,工学部専門科目,理工化学科,
プロセス制御工学,外輪 健一郎・殿村 修,3回生以上,前期,水2,工学部専門科目,理工化学科,
量子化学概論,佐藤 啓文,3回生以上,後期,月2,工学部専門科目,理工化学科,
電気化学,安部 武志・宮原 雄人・宮崎 晃平,4回生以上,前期,木2,工学部専門科目,理工化学科,
有機分光学,田中 一生・山本 武司・大前 仁・磯崎 勝弘,4回生以上,前期,火2,工学部専門科目,理工化学科,
触媒化学,阿部 竜・藤原 哲晶・跡見 晴幸・松井 敏明・中田 明伸,4回生以上,前期,水1,工学部専門科目,理工化学科,
生化学II,三木 裕明・跡見 晴幸・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,月1,工学部専門科目,理工化学科,
微粒子工学,渡邉 哲・長嶺 信輔,3回生以上,後期,火1,工学部専門科目,理工化学科,
プロセスシステム工学,外輪 健一郎・殿村 修,3回生以上,後期,木2,工学部専門科目,理工化学科,
プロセス設計,外輪 健一郎・玉川 淳・殿村 修・化学プロセス工学コース関連教員,4回生以上,前期,金3,工学部専門科目,理工化学科,
計算化学工学,前多 裕介・長嶺 信輔,3回生以上,前期,火3,工学部専門科目,理工化学科,
化学実験の安全指針,中川 浩行・大前 仁・阿部 竜・田中 隆行・大内 誠・山本 武司,4回生以上,前期集中,集中講義,工学部専門科目,理工化学科,
化学工学シミュレーション,山本 量一・渡邉 哲,3回生以上,後期,火2,工学部専門科目,理工化学科,
物理化学基礎及び演習［工化1],古賀 毅・古谷 勉,2回生以上,前期,火2,工学部専門科目,理工化学科,
物理化学基礎及び演習［工化2］,寺村 謙太郎・井口 翔之,2回生以上,前期,火2,工学部専門科目,理工化学科,
物理化学基礎及び演習［工化3］,田辺 克明,2回生以上,前期,火2,工学部専門科目,理工化学科,
物理化学基礎及び演習［工化4］,東野 智洋・森岡 直也,2回生以上,前期,火2,工学部専門科目,理工化学科,
有機化学基礎及び演習［工化1］,藤原 哲晶,2回生以上,前期,月1,工学部専門科目,理工化学科,
有機化学基礎及び演習［工化2］,大宮 寛久・長尾 一哲,2回生以上,前期,月1,工学部専門科目,理工化学科,
有機化学基礎及び演習［工化3］,石田 直樹・田村 朋則,2回生以上,前期,月1,工学部専門科目,理工化学科,
有機化学基礎及び演習［工化4］,山子 茂・秋吉 美里,2回生以上,前期,月1,工学部専門科目,理工化学科,
基礎無機化学［T17，T18］,阿部 竜・高井 茂臣・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,
基礎無機化学［T19，T20］,松井 敏明・田中 勝久・下間 靖彦,2回生以上,前期,金2,工学部専門科目,理工化学科,
基礎無機化学［T21，T22］,藤田 晃司・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,
化学プロセス工学基礎［T17，T18］,山本 量一・牧 泰輔・河瀬 元明,2回生以上,前期,木2,工学部専門科目,理工化学科,
化学プロセス工学基礎［T19，T20］,河瀬 元明・蘆田 隆一・山本 量一,2回生以上,前期,木2,工学部専門科目,理工化学科,
