授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
建築応用数学,大﨑 純・小椋 大輔・大谷 真・西嶋 一欽,3回生以上,前期,金3,工学部専門科目,建築学科,,2025
建築情報システム学,金多 隆・西野 佐弥香,3回生以上,前期,火3,工学部専門科目,建築学科,,2025
日本都市史,岩本 馨,1回生以上,前期,火3,工学部専門科目,建築学科,,2025
日本建築史,冨島 義幸,3回生以上,後期,水1,工学部専門科目,建築学科,,2025
建築情報処理演習,柳沢 究・伊庭 千恵美・倉田 真宏・稲益 博行・安田 渓・高取 伸光,2回生以上,後期,"金4,5",工学部専門科目,建築学科,,2025
建築温熱環境設計,小椋 大輔・伊庭 千恵美,3回生以上,後期,火2,工学部専門科目,建築学科,,2025
設計演習基礎,平田 晃久・安田 渓・岩瀨 諒子・清山 陽平,1回生以上,後期,"月4,5",工学部専門科目,建築学科,,2025
世界建築史,冨島 義幸・岩本 馨,1回生以上,後期,月3,工学部専門科目,建築学科,,2025
専門英語,"TSOI, Esther",4回生以上,前期,木4,工学部専門科目,建築学科,,2025
建築造形実習,小見山 陽介・平野 利樹・安田 渓・清山 陽平,1回生以上,前期,"月3,4",工学部専門科目,建築学科,,2025
建築設備計画法,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・仁井 大策・講師,4回生以上,前期,水4,工学部専門科目,建築学科,,2025
特別研究,冨島 義幸,4回生以上,通年集中,集中講義,工学部専門科目,建築学科,,2025
